Date,Data1,Data2,Data3
7/17/2018,855,784,428
8/19/2016,850,776,366
11/16/2017,332,591,822
5/27/2015,700,536,616
6/2/2017,841,866,120
6/14/2018,487,525,611
1/29/2018,275,148,792
5/15/2015,770,275,131
2/10/2016,896,16,885
12/13/2015,577,446,542
6/3/2015,166,622,239
7/25/2015,282,688,188
3/27/2019,825,333,796
4/27/2018,248,379,72
4/24/2015,232,592,62
7/29/2017,816,452,255
7/2/2016,518,84,343
3/24/2017,181,5,412
12/6/2016,63,729,262
12/27/2018,50,513,320
2/18/2017,966,927,554
12/24/2015,919,73,842
7/21/2015,512,633,40
5/18/2015,499,162,610
8/24/2017,546,878,305
9/20/2018,893,688,757
5/14/2017,219,226,728
3/30/2018,908,343,680
4/7/2015,908,376,686
12/11/2016,868,898,263
8/15/2017,567,851,84
4/24/2016,549,24,184
4/4/2016,513,974,295
7/11/2018,373,26,200
12/24/2015,936,262,931
12/7/2016,176,78,395
7/25/2015,957,573,538
7/16/2015,378,639,998
7/5/2015,557,927,176
2/13/2019,568,475,26
9/13/2015,240,945,110
10/20/2016,438,468,142
2/19/2016,750,52,202
2/14/2019,803,22,790
3/22/2018,974,700,143
7/29/2015,453,279,62
7/4/2017,534,585,194
5/2/2018,217,244,853
1/19/2016,380,457,10
12/19/2017,407,410,866
9/3/2016,865,632,935
7/24/2017,424,301,352
7/8/2018,292,689,949
5/2/2018,144,187,390
10/12/2018,267,396,789
7/15/2017,652,76,592
3/9/2018,277,421,284
6/30/2017,810,975,638
12/17/2018,901,233,604
6/6/2018,436,890,887
9/15/2018,913,623,190
1/14/2016,556,584,754
1/19/2018,564,564,731
12/17/2015,365,398,710
4/18/2016,678,283,967
7/3/2016,289,914,871
8/16/2015,486,642,673
9/19/2018,187,558,221
9/29/2016,1,366,483
4/16/2017,439,592,354
4/28/2016,569,772,714
10/7/2016,600,405,129
7/8/2017,416,582,55
5/17/2017,739,95,655
2/16/2019,643,185,677
6/15/2016,759,595,812
11/29/2017,276,640,76
2/21/2017,641,246,645
1/19/2019,376,307,518
1/29/2017,160,108,459
11/10/2017,203,558,718
9/4/2018,69,616,134
8/5/2018,606,806,254
6/27/2016,448,71,572
7/13/2015,117,506,333
11/19/2015,931,207,766
3/9/2016,167,534,217
12/31/2015,326,13,952
9/30/2015,406,992,914
9/22/2017,52,542,720
5/7/2018,307,814,857
11/4/2017,742,839,548
8/4/2016,370,913,158
12/25/2018,336,334,409
3/6/2017,689,131,731
2/23/2019,866,835,955
5/14/2017,49,936,945
2/18/2018,302,479,119
2/7/2018,329,707,746
1/25/2016,839,403,427
5/23/2015,484,899,949
2/5/2016,378,800,900
7/10/2017,407,549,566
9/25/2015,516,988,739
10/11/2016,551,701,966
10/4/2016,747,962,559
9/4/2018,241,249,415
2/17/2019,26,742,264
9/29/2017,221,528,828
6/30/2015,529,997,445
12/29/2016,699,496,360
10/28/2016,15,944,66
1/16/2017,12,924,816
12/31/2017,855,373,845
5/18/2017,392,745,999
3/30/2017,563,300,416
3/12/2019,841,466,988
12/29/2016,229,575,140
7/3/2017,868,532,235
9/11/2015,925,262,64
8/6/2018,535,839,96
2/4/2016,777,433,59
2/20/2017,176,132,483
12/26/2015,180,665,747
12/15/2015,602,752,339
3/1/2017,290,117,459
2/22/2016,732,727,611
11/14/2016,201,329,794
4/3/2017,67,842,494
2/1/2016,604,313,57
2/1/2016,945,168,936
11/27/2017,956,342,147
11/11/2018,723,606,559
3/7/2018,475,488,912
10/22/2017,49,403,358
11/26/2017,77,285,678
8/11/2018,60,932,95
8/15/2016,679,209,425
9/6/2015,237,696,970
3/31/2017,76,742,639
3/10/2017,229,120,830
11/1/2017,406,157,852
12/1/2016,140,560,309
9/23/2017,669,984,360
11/4/2018,538,612,546
3/3/2016,827,655,68
4/6/2015,650,74,641
8/3/2016,44,982,542
12/15/2016,806,504,835
10/31/2017,988,765,239
7/17/2018,597,588,81
9/24/2017,865,39,492
6/19/2016,717,83,809
1/17/2019,60,431,800
4/11/2018,276,872,542
11/18/2016,206,416,742
10/27/2017,760,702,628
4/3/2017,468,278,524
5/17/2016,413,906,491
6/7/2016,432,573,488
3/16/2016,286,224,294
11/17/2016,888,680,255
7/26/2017,746,805,861
2/21/2017,868,255,153
7/30/2015,636,141,103
4/1/2018,810,50,997
6/19/2018,203,930,133
8/6/2015,396,330,863
10/5/2016,607,105,893
3/14/2017,687,458,603
4/6/2015,67,263,661
8/28/2015,447,643,607
4/18/2017,437,793,548
10/20/2016,142,666,275
5/29/2018,495,724,570
2/9/2018,559,794,106
7/29/2017,926,866,903
6/22/2015,708,997,633
12/29/2017,684,502,842
1/4/2018,471,712,177
5/6/2015,470,45,816
11/22/2015,132,83,686
6/25/2016,362,247,975
5/18/2018,309,110,77
3/21/2018,33,348,16
8/1/2018,445,859,619
8/5/2017,907,351,292
8/17/2018,79,934,590
12/30/2018,800,856,969
3/13/2019,779,846,644
10/16/2016,508,138,8
3/8/2016,517,418,182
11/15/2017,962,771,438
7/22/2018,567,861,69
5/16/2017,785,765,862
8/4/2016,911,267,886
2/27/2016,249,81,482
10/28/2016,600,676,595
4/23/2017,673,132,583
1/8/2016,947,767,917
5/27/2018,466,342,689
9/9/2015,875,199,387
8/30/2016,542,390,356
5/31/2016,185,634,86
7/28/2018,610,506,262
2/4/2017,671,262,216
6/1/2015,785,617,194
11/4/2017,814,310,208
7/19/2016,196,135,860
7/17/2016,174,416,683
3/2/2019,966,897,3
10/26/2017,867,818,410
3/21/2017,289,253,997
10/10/2018,216,6,128
11/20/2016,229,385,411
7/9/2017,725,669,207
2/15/2019,416,20,456
10/15/2015,202,362,502
11/23/2017,141,233,441
7/12/2018,821,654,422
12/4/2017,698,993,693
12/21/2015,443,75,810
12/7/2017,583,67,375
7/20/2018,967,785,369
11/12/2018,413,90,393
9/2/2017,682,691,39
12/20/2015,726,634,592
11/30/2016,848,742,696
6/12/2015,705,87,441
10/28/2018,353,169,177
6/17/2016,285,857,364
5/7/2017,345,791,513
2/2/2018,522,552,47
7/14/2018,282,873,296
11/25/2015,852,727,403
9/23/2018,959,437,330
4/29/2016,694,926,319
4/10/2017,952,307,486
1/7/2017,708,469,983
2/17/2019,706,302,752
4/18/2017,697,11,123
10/23/2015,11,539,456
1/20/2019,137,298,784
3/31/2017,662,839,569
5/21/2016,49,57,994
7/20/2016,439,304,443
9/23/2018,579,404,843
9/21/2018,797,836,205
7/5/2016,539,102,624
7/6/2017,541,169,57
7/30/2016,935,168,600
3/24/2017,359,366,994
2/3/2019,487,292,377
3/12/2016,775,223,270
6/18/2017,782,280,384
4/11/2016,327,24,660
6/14/2017,214,812,518
3/14/2017,681,818,554
8/11/2015,3,140,433
5/25/2018,530,87,958
1/30/2018,120,764,207
2/6/2019,70,483,977
3/18/2016,556,829,108
1/10/2018,404,786,141
6/17/2018,584,929,774
4/2/2016,215,117,633
1/6/2016,751,803,224
4/26/2018,949,320,380
4/22/2016,29,575,347
12/4/2016,475,603,243
10/12/2018,708,287,386
9/13/2015,332,728,985
12/14/2015,225,254,636
2/8/2019,147,666,230
6/21/2017,456,296,233
11/18/2018,889,649,484
4/23/2017,233,398,624
2/8/2019,400,304,380
11/16/2018,554,913,261
2/5/2017,203,484,737
9/9/2017,765,618,865
4/21/2017,778,366,914
2/17/2016,143,247,241
4/6/2018,645,45,459
11/21/2017,882,652,603
3/28/2017,965,477,989
10/9/2016,68,190,661
5/27/2018,366,600,864
6/18/2015,832,652,883
9/2/2018,984,400,348
4/5/2019,239,714,820
6/18/2017,403,241,141
12/1/2015,418,382,591
4/14/2018,838,119,534
4/20/2018,396,132,663
7/11/2017,859,742,791
2/18/2016,93,249,406
5/19/2017,879,93,107
3/2/2019,838,206,390
1/21/2019,169,830,517
2/16/2019,414,31,80
5/30/2015,355,583,610
12/23/2018,941,968,304
12/14/2016,483,839,967
8/4/2017,40,199,478
2/21/2016,27,475,522
7/24/2016,528,924,422
1/1/2017,652,761,385
10/12/2017,715,941,994
2/26/2017,923,614,948
8/30/2015,538,386,956
11/12/2016,469,226,925
10/21/2018,812,421,228
5/13/2015,310,864,687
1/11/2018,136,330,408
3/4/2017,391,566,632
7/10/2016,811,817,672
10/24/2015,789,680,783
2/6/2016,949,866,699
2/16/2019,655,970,394
12/8/2015,948,364,211
1/7/2018,711,295,529
10/30/2016,638,76,878
12/5/2018,194,271,72
1/3/2016,157,494,291
12/9/2017,604,71,421
1/25/2016,541,30,455
10/1/2017,777,7,22
8/1/2015,298,935,103
10/21/2018,20,455,391
12/10/2018,406,591,978
5/23/2015,596,845,126
2/11/2018,228,887,82
12/9/2016,652,462,812
4/13/2015,71,568,809
3/6/2018,13,533,620
7/1/2016,276,209,939
6/30/2016,746,917,745
1/24/2017,491,259,70
6/18/2015,221,548,448
8/14/2016,312,495,268
12/13/2018,492,338,284
11/8/2017,915,731,756
12/2/2016,420,869,295
3/17/2018,291,639,818
10/31/2016,250,72,293
9/5/2015,682,881,567
9/20/2018,483,394,4
8/19/2018,577,954,697
8/27/2016,742,746,858
11/5/2015,524,140,58
12/13/2017,324,631,687
2/11/2018,349,378,480
2/16/2019,926,795,524
3/11/2018,724,550,482
3/1/2016,633,860,195
1/21/2016,100,820,971
1/20/2019,955,759,53
11/19/2017,195,250,954
2/9/2019,532,125,417
9/14/2018,104,749,192
5/20/2016,560,366,765
1/9/2019,402,992,156
12/25/2018,734,448,802
5/21/2018,405,722,33
12/31/2018,40,851,595
3/23/2016,2,456,260
12/8/2015,724,859,677
5/23/2018,923,334,567
7/26/2018,455,198,927
2/4/2016,177,14,286
6/3/2018,730,715,477
2/19/2019,664,903,147
1/29/2016,841,55,23
6/29/2017,436,44,928
7/26/2016,265,656,825
12/13/2017,654,849,525
6/9/2018,535,768,43
12/21/2016,583,556,521
11/17/2015,590,714,741
12/28/2017,795,717,175
4/17/2016,484,485,137
6/5/2016,383,575,439
4/7/2016,134,546,136
9/26/2017,196,89,739
3/1/2019,205,407,658
1/12/2016,635,788,553
12/24/2015,926,206,502
8/5/2018,690,293,175
4/2/2017,344,303,175
5/2/2018,765,555,868
9/23/2015,19,768,327
3/5/2016,288,293,132
3/13/2018,113,910,108
12/28/2018,46,513,451
11/13/2017,204,362,379
6/18/2016,1,367,512
11/21/2016,450,908,141
5/21/2015,580,90,847
6/6/2015,717,951,519
11/25/2018,1000,629,85
8/1/2017,489,179,892
4/3/2019,963,324,857
10/1/2017,490,312,300
5/26/2018,466,591,298
12/7/2016,794,339,654
8/23/2018,381,102,40
8/7/2015,904,83,595
3/5/2019,185,653,232
4/25/2016,340,753,233
10/19/2015,644,272,804
11/13/2016,172,501,18
7/21/2015,294,645,86
9/9/2018,837,754,161
5/21/2018,514,357,625
10/5/2018,352,69,25
11/27/2016,656,784,515
8/5/2015,308,511,339
5/20/2018,204,827,954
7/5/2016,206,269,919
7/13/2018,879,788,651
3/23/2019,107,896,555
10/10/2017,390,688,394
8/31/2017,428,865,662
1/31/2017,838,732,51
1/17/2016,442,738,440
9/26/2016,312,114,733
8/1/2016,169,269,281
7/7/2015,976,990,414
1/30/2019,360,248,446
7/10/2016,960,989,158
1/12/2017,405,40,21
6/29/2015,886,177,995
10/4/2015,937,196,993
6/26/2017,326,866,492
2/19/2018,437,127,521
1/14/2017,405,542,996
12/5/2017,941,170,304
10/14/2018,946,130,256
12/15/2016,792,97,260
4/16/2016,967,581,695
6/16/2017,194,359,565
7/3/2018,322,540,112
8/12/2017,394,641,611
2/21/2018,900,313,675
4/11/2016,499,932,482
8/2/2017,920,588,131
8/15/2018,718,641,324
10/9/2017,794,386,458
1/24/2017,856,72,129
5/29/2017,353,293,765
6/2/2018,517,645,801
5/28/2015,348,986,158
4/20/2015,837,609,445
7/31/2015,592,467,972
5/12/2017,870,608,444
5/31/2015,532,364,292
5/27/2017,371,769,272
4/6/2017,316,858,362
12/11/2018,348,57,528
12/14/2016,919,348,176
3/9/2017,895,578,525
3/4/2019,297,330,905
2/2/2019,150,32,902
10/28/2018,486,14,487
6/11/2015,382,646,399
1/23/2019,157,990,993
1/17/2017,391,847,623
11/10/2016,652,194,798
11/21/2018,135,94,941
11/26/2015,639,175,997
2/3/2016,11,826,516
2/27/2019,643,242,960
6/12/2018,394,267,785
6/6/2015,43,786,102
3/16/2017,1,64,587
6/8/2017,927,987,296
5/19/2017,798,148,487
9/30/2017,607,561,372
7/9/2016,924,470,546
5/21/2018,380,132,741
12/9/2017,993,192,710
3/25/2018,621,140,991
1/23/2017,321,547,577
9/4/2017,879,582,467
6/8/2018,240,694,698
5/20/2015,911,134,518
6/15/2016,260,179,890
3/13/2016,873,895,644
1/31/2016,312,552,257
2/8/2018,810,178,489
1/7/2016,131,990,121
8/21/2015,396,316,93
9/28/2017,394,984,173
9/30/2017,192,798,204
1/15/2016,43,975,444
7/3/2016,867,193,412
9/7/2018,991,498,700
8/26/2018,443,945,787
11/27/2015,656,663,691
4/15/2016,100,279,754
9/12/2015,618,953,907
11/11/2015,600,243,538
12/30/2016,524,581,480
2/19/2016,945,268,621
10/7/2018,97,349,233
10/3/2017,123,328,711
12/11/2015,469,390,30
1/7/2017,806,341,944
9/22/2016,5,207,323
12/13/2016,752,228,212
11/26/2016,351,422,666
10/19/2015,638,62,173
11/6/2017,940,315,727
7/2/2015,389,302,868
8/22/2018,139,431,523
11/15/2018,882,874,538
4/1/2016,376,538,199
8/18/2017,148,766,742
7/16/2017,484,934,508
1/4/2019,301,130,258
12/30/2016,775,184,757
3/21/2018,886,597,449
1/10/2017,684,554,744
7/30/2016,810,653,794
12/6/2017,389,542,137
3/6/2017,970,847,405
6/5/2015,368,426,3
2/5/2017,768,600,614
5/30/2018,645,572,756
5/16/2016,146,176,42
11/13/2017,146,816,154
8/10/2017,27,127,526
8/23/2018,687,837,589
2/16/2016,615,324,433
10/23/2016,476,878,658
11/22/2015,366,873,708
2/19/2017,488,817,894
4/19/2016,779,915,312
2/14/2019,999,753,127
4/3/2018,129,147,964
4/7/2016,444,549,169
12/28/2015,196,453,88
10/12/2015,977,476,611
3/25/2018,829,541,341
8/2/2016,137,140,335
11/11/2018,90,394,762
4/14/2015,715,825,584
3/5/2019,85,73,118
8/14/2018,458,738,534
2/10/2018,479,297,196
4/2/2019,141,663,365
1/27/2017,313,757,531
1/15/2018,24,164,927
2/5/2018,306,936,749
1/19/2016,631,648,528
3/27/2018,64,723,268
12/16/2018,214,519,822
7/20/2016,928,121,325
8/11/2015,476,402,980
8/26/2017,643,208,215
9/25/2015,122,310,767
5/4/2018,957,412,627
10/17/2018,528,378,22
8/14/2016,317,957,309
6/15/2018,647,268,471
8/23/2015,688,134,398
3/30/2018,695,52,775
8/22/2016,513,923,47
8/7/2016,981,549,594
9/19/2016,695,7,891
1/28/2019,304,11,234
10/4/2018,651,314,596
8/13/2016,950,617,460
5/6/2015,54,251,482
8/3/2018,460,700,491
8/13/2017,470,458,760
6/29/2018,215,513,161
12/20/2018,837,135,195
11/2/2015,128,401,476
9/7/2018,236,919,205
6/18/2017,459,299,900
12/10/2017,671,140,41
1/10/2019,658,108,29
12/16/2015,328,913,184
8/31/2017,246,407,272
11/20/2015,332,88,234
6/24/2015,127,188,991
2/26/2019,235,609,543
6/7/2017,876,286,40
11/8/2017,363,344,245
10/29/2016,262,1,399
8/9/2016,996,990,412
12/19/2017,129,45,393
9/12/2015,100,529,620
9/26/2016,14,413,721
8/17/2016,919,938,258
10/14/2016,803,456,331
6/11/2016,297,668,319
10/12/2015,862,579,150
10/7/2017,596,161,749
4/21/2015,767,261,649
7/31/2016,125,951,158
9/27/2018,649,254,860
12/7/2018,953,572,424
2/8/2017,905,870,924
3/11/2016,914,394,717
6/11/2015,660,487,725
1/4/2019,327,414,98
7/1/2016,680,59,947
3/23/2017,794,941,723
1/28/2016,527,981,204
10/12/2016,458,131,84
12/9/2015,887,444,225
3/6/2018,504,726,381
1/22/2018,589,221,183
4/16/2017,810,437,947
1/29/2017,735,340,278
9/22/2016,710,987,545
4/19/2017,883,782,52
9/15/2018,47,833,605
6/10/2016,516,392,426
6/4/2016,321,439,919
1/10/2017,792,832,331
4/2/2016,391,165,857
5/14/2015,523,983,116
3/8/2018,964,133,579
5/13/2018,77,772,784
5/31/2017,473,861,517
9/28/2015,444,255,734
4/2/2018,878,554,880
5/3/2016,567,513,941
1/26/2018,681,122,251
7/3/2016,665,190,63
1/27/2019,213,434,669
6/8/2016,479,253,963
2/23/2018,809,273,578
7/21/2018,316,962,394
5/11/2018,234,329,550
1/25/2016,571,841,388
11/1/2016,610,674,242
11/19/2018,770,70,958
10/12/2018,592,527,667
5/31/2015,757,6,339
5/12/2015,798,893,632
6/25/2015,400,497,589
10/3/2016,126,191,206
4/30/2017,929,287,238
5/20/2015,805,579,963
9/19/2016,621,555,274
11/12/2016,288,713,190
6/22/2016,636,244,599
7/23/2015,975,478,234
1/10/2018,99,731,181
1/29/2018,133,409,166
10/16/2017,672,361,902
1/4/2018,45,299,305
12/6/2016,502,113,177
1/3/2016,118,80,926
1/29/2019,910,339,845
4/12/2015,98,413,582
9/25/2017,647,345,583
10/10/2016,569,336,905
2/17/2017,830,938,771
9/14/2016,707,817,921
9/16/2018,450,617,792
4/11/2018,637,115,478
9/4/2016,11,383,745
8/16/2015,923,205,166
3/18/2019,152,41,1000
6/23/2015,786,387,184
4/18/2015,641,780,506
4/21/2015,37,292,684
7/29/2016,421,584,591
10/29/2018,995,390,799
5/20/2015,284,39,915
3/22/2017,406,173,750
10/14/2016,454,81,865
1/19/2017,777,223,563
5/29/2016,837,117,183
5/26/2018,462,831,8
8/11/2016,511,719,98
7/8/2016,534,553,427
2/22/2016,780,459,390
12/26/2016,561,436,580
10/9/2015,477,613,586
12/6/2015,579,60,105
2/23/2017,959,604,714
12/29/2015,639,155,669
9/9/2016,516,108,351
11/18/2018,316,418,223
1/3/2018,688,15,787
8/11/2017,689,898,602
12/20/2015,807,864,633
7/14/2017,492,267,743
12/16/2018,568,409,281
11/24/2018,714,195,349
4/20/2016,719,491,422
11/16/2018,214,165,343
12/15/2017,87,75,877
7/3/2016,99,119,431
5/16/2016,22,311,229
7/27/2016,345,168,566
4/29/2017,805,417,124
11/10/2015,717,57,827
6/30/2017,105,358,98
11/18/2016,151,4,130
9/9/2015,757,303,654
8/17/2016,132,377,783
9/15/2015,889,334,693
6/25/2015,890,263,973
10/3/2017,118,862,425
7/23/2017,152,748,179
8/12/2018,856,278,684
7/8/2017,808,3,440
7/19/2015,366,96,172
9/23/2017,620,448,957
2/15/2017,846,972,191
10/27/2016,837,99,731
2/8/2018,38,60,370
12/2/2015,837,278,62
9/13/2018,677,495,703
10/13/2015,679,962,791
8/21/2017,551,370,267
8/15/2016,367,191,571
4/3/2016,786,81,348
5/27/2017,849,508,280
12/21/2018,937,769,83
7/9/2018,587,434,37
11/26/2017,218,544,518
6/1/2018,684,413,180
8/12/2018,759,421,290
3/19/2019,693,95,761
2/5/2016,310,169,102
1/16/2017,561,10,10
6/11/2015,657,150,723
10/24/2017,843,5,644
8/22/2017,731,442,52
12/30/2017,961,469,34
4/22/2018,277,586,636
11/21/2017,899,604,8
6/9/2016,307,884,205
6/20/2016,831,43,95
12/5/2018,503,204,507
1/23/2017,583,4,533
1/13/2017,609,90,174
3/4/2018,828,412,891
12/12/2017,462,174,395
8/5/2016,468,620,520
5/21/2015,291,334,478
11/13/2018,314,846,547
9/8/2015,706,770,481
6/29/2017,496,324,209
12/29/2015,964,926,162
12/20/2016,248,178,717
11/18/2018,471,441,772
11/5/2015,478,11,258
3/9/2017,511,341,396
11/18/2018,34,486,425
5/3/2016,762,698,759
1/8/2019,9,273,392
3/20/2019,544,568,440
5/11/2018,648,918,41
7/22/2016,223,294,293
3/1/2018,409,568,337
12/12/2016,113,715,272
11/15/2016,917,179,580
2/10/2019,686,84,271
7/10/2017,773,132,909
9/16/2018,178,506,872
11/13/2018,734,361,441
12/16/2016,239,554,722
1/9/2016,647,79,318
2/19/2016,510,600,170
2/13/2019,379,743,37
6/7/2015,51,792,396
2/15/2017,496,398,268
8/10/2016,848,935,848
3/27/2017,852,607,113
4/15/2016,628,231,554
9/18/2015,147,633,834
2/3/2017,381,799,31
7/17/2018,268,617,129
8/25/2018,996,727,966
2/3/2016,894,76,376
4/27/2017,774,799,728
2/1/2018,853,661,212
10/10/2015,195,404,522
9/4/2016,814,8,786
1/22/2018,148,716,86
5/6/2017,126,968,413
8/31/2015,906,94,743
12/18/2016,705,276,104
9/30/2015,952,298,447
12/1/2017,309,25,217
9/8/2017,640,446,64
12/28/2015,738,234,68
4/6/2015,569,580,662
4/12/2016,412,570,575
3/22/2016,289,13,535
3/28/2018,308,481,90
2/14/2017,399,593,816
2/1/2018,70,587,306
11/17/2016,120,156,770
2/27/2017,130,937,633
1/15/2016,633,534,722
7/11/2018,281,41,895
2/4/2018,307,386,486
2/15/2016,120,310,468
4/17/2018,389,595,753
9/6/2017,900,502,56
7/27/2018,254,571,516
6/29/2015,821,986,715
11/14/2018,338,177,13
9/2/2015,268,657,557
6/10/2016,846,141,740
9/27/2016,267,268,642
9/24/2015,579,95,36
7/30/2015,615,639,241
10/16/2018,133,370,31
6/3/2016,29,372,598
10/11/2015,889,795,416
2/5/2018,848,351,693
10/13/2015,762,355,8
11/30/2017,651,779,182
8/5/2018,774,348,461
3/30/2017,609,628,211
7/26/2018,977,786,555
9/9/2018,88,915,541
1/12/2018,922,785,131
6/24/2015,942,489,317
7/21/2017,833,419,122
1/18/2017,850,283,507
1/16/2016,805,734,687
1/26/2016,949,290,462
10/27/2017,687,656,469
6/12/2015,209,623,136
10/15/2018,173,515,299
1/3/2019,754,234,205
3/31/2019,721,794,902
3/8/2017,874,327,570
3/16/2018,974,507,70
7/11/2015,101,447,998
5/12/2018,493,404,340
8/31/2015,412,458,989
2/10/2017,136,752,494
3/16/2019,891,371,603
7/29/2016,956,830,288
4/22/2017,399,505,493
8/4/2017,238,689,899
3/4/2016,600,448,505
1/10/2016,104,621,779
7/18/2017,250,833,945
8/22/2015,156,730,172
2/13/2019,712,88,599
1/3/2017,395,477,722
1/16/2016,848,514,392
8/14/2016,752,409,982
6/5/2016,39,126,342
12/17/2015,418,459,860
8/10/2018,394,802,741
9/4/2015,404,13,372
10/29/2015,299,826,149
1/7/2018,336,59,891
3/4/2017,980,609,53
10/29/2018,812,220,838
10/5/2018,851,383,926
11/21/2018,993,504,204
7/2/2016,714,985,936
9/17/2015,349,219,721
10/12/2015,253,60,806
6/18/2015,180,253,99
11/21/2017,817,120,924
11/9/2016,740,241,681
2/7/2019,189,731,154
8/6/2015,728,934,732
9/7/2018,846,174,618
5/31/2015,163,630,654
